Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
15140,0.05,3.8,61.9,0.5,0.31,22900.0,0.5,19.0,5.3,18.0,14560,23,7120,221,0.1,0.05,10.1,7.2,270000.0,0.77,2080,0.4,0.02,0.196,139,28,73000.0,0.5,2780,0.8,28,57
15040,0.05,3.2,64.9,0.5,0.32,4460.0,0.5,20.0,4.9,10.0,16300,24,2740,252,0.07,1.4,11.0,0.2,230000.0,0.53,3330,0.3,0.16,0.083,83,23,60000.0,0.5,3950,1.1,33,61
12660,0.05,3.6,53.1,0.4,0.25,4050.0,0.5,16.0,4.3,9.0,14590,22,2320,219,0.07,1.3,9.6,0.2,230000.0,0.53,2410,0.4,0.12,0.069,55,19,66000.0,0.5,3990,1.0,26,57
11860,0.1,3.9,50.6,0.4,0.3,4390.0,0.5,16.0,4.2,10.0,14430,22,2290,220,0.07,1.3,9.4,0.2,210000.0,0.49,2270,0.4,0.12,0.072,57,19,63000.0,0.5,4020,1.1,26,56
17940,0.2,3.9,76.7,0.8,0.35,4740.0,0.5,27.0,7.8,16.0,21900,19,3790,292,0.05,1.2,19.8,0.6,260000.0,0.55,4120,0.5,0.13,0.064,77,41,66000.0,0.5,2710,2.0,41,67
17410,0.2,4.5,76.5,0.8,0.4,4810.0,0.5,26.0,7.8,17.0,21200,19,3640,295,0.04,1.3,18.3,0.6,270000.0,0.57,3790,0.6,0.15,0.092,74,48,82000.0,0.5,2610,1.9,40,68
22200,0.3,4.2,80.8,0.9,0.45,4930.0,0.5,32.0,8.0,18.0,21700,21,4000,285,0.05,1.2,19.2,1.7,240000.0,0.55,5660,0.6,0.13,0.06,111,52,74000.0,0.5,2490,2.0,50,70
17520,0.2,10.0,78.7,0.8,0.54,4400.0,0.5,28.0,7.5,24.0,23200,49,3590,243,0.06,0.9,18.0,0.4,240000.0,0.49,3700,0.7,0.16,0.158,113,24,88000.0,0.5,2670,1.3,37,112
15380,0.3,7.9,73.9,0.7,0.6,4270.0,0.5,27.0,7.5,24.0,22100,48,3400,242,0.06,0.9,17.0,0.6,260000.0,0.54,3040,0.7,0.15,0.167,87,23,84000.0,0.5,2770,1.2,34,117
18990,0.3,7.9,88.3,0.8,0.18,4690.0,0.5,32.0,8.0,23.0,22500,50,3680,260,0.06,0.7,18.0,0.3,260000.0,0.54,4520,0.75,0.16,0.036,139,30,86000.0,0.5,2920,1.2,42,121
11420,0.2,3.8,42.2,0.4,0.16,33100.0,0.5,15.0,5.1,14.0,14830,17,11040,313,0.04,0.8,11.0,5.0,170000.0,0.59,2210,0.3,0.11,0.034,167,37,84000.0,0.5,2300,1.1,23,42
12020,0.3,3.8,43.4,0.4,0.27,32000.0,0.5,16.0,5.5,13.0,14970,16,10820,325,0.04,0.8,11.0,5.6,180000.0,0.57,2330,0.3,0.12,0.046,183,37,56000.0,0.5,2090,1.1,25,41
18860,0.05,3.8,84.8,0.8,0.4,14490.0,0.5,29.0,8.4,25.0,21000,24,9260,200,0.05,0.4,22.7,4.0,320000.0,0.76,4780,0.6,0.6,0.082,141,31,45000.0,0.5,3440,1.3,36,80
18710,0.05,3.7,77.5,0.7,0.38,14810.0,0.5,28.0,8.0,26.0,21900,25,9420,197,0.05,0.7,23.3,3.9,320000.0,0.77,4240,0.6,0.6,0.081,121,23,47000.0,0.5,3270,1.2,33,79
